"model","ticker","RMSE","MAE","U2","DA_eps","n","Sharpe0","Sharpe10","MaxDD0","MaxDD10"
"arima","AAPL","2.153180417905769","1.6360204467299353","1.0111310020157018","0.5073529411764706","146","0.03844643889479145","-0.002184944660196779","0.10025304155534909","0.11523688766980034"
"arimax","AAPL","2.4039926332283916","1.8688054751768106","1.1264662937786456","0.45985401459854014","146","0.08883026088593987","-0.8164199799883366","0.13099760123527504","0.1575906379986035"
"hybrid","AAPL","2.1434789979240345","1.632986450727318","1.0065752265565104","0.5328467153284672","146","-1.1925141354080666","-1.2655616584476457","0.10428983055184182","0.10608419772883582"
"lstm_po_close","AAPL","3.7000087356937117","3.1500911973927117","1.7375197680961636","0.45255474452554745","146","-0.07156939424018195","-0.07431317858412237","0.1571176625507238","0.1605178242633527"
"lstm_po_ohlcv","AAPL","5.893027465879092","5.051375820212169","2.7673587948918215","0.43795620437956206","146","-0.06933611645901913","-0.07330326227978214","0.15407155688648488","0.1549280243911012"
"lstm_se","AAPL","12.93746726390759","11.404602468830266","6.111072699614944","0.47058823529411764","146","-0.8710119220834199","-0.9542863171338931","0.163381833275571","0.16882176080663835"
"lstm_se_hypertuned","AAPL","26.52375030517578","24.684045791625977","6.923155234719662","0.46153846153846156","146","-2.2662089736824336","-2.2662089736824336","0.4055483669548514","0.4055483669548514"
"transformer","AAPL","14.460113414044299","13.037388318205531","6.8303016746116905","0.45588235294117646","146","-0.04281186597698487","-0.04342512508657283","0.17338766807767358","0.17338766807767358"
"arima","AMD","3.020771945818607","2.2674664221961396","1.0063132072006629","0.48201438848920863","146","-0.11888428313577964","-0.13710951155503662","0.49844481206382785","0.533568600840584"
"arimax","AMD","4.5459858070634125","2.6033721057172508","1.510568086360501","0.4785714285714286","146","-0.969003642925774","-1.45066346173222","0.3454114519946424","0.3836121910165111"
"hybrid","AMD","27.250935325473435","21.5578232856646","5.879236141705623","0.4397163120567376","146","-0.04274003564372189","-0.04630057920649071","0.20381715328401728","0.20381715328401728"
"lstm_po_close","AMD","3.0177741182170643","2.283312183536895","1.005314537469067","0.5428571428571428","146","0.10701575416752253","0.10000144066113141","0.26960411718332167","0.2754602635732054"
"lstm_po_ohlcv","AMD","3.543113852711436","2.838073364675861","1.180321563014557","0.55","146","0.12735141116703116","0.11604973352892756","0.15826869345572614","0.1691031307835732"
"lstm_se","AMD","8.287492487368056","7.274749024273598","2.763298528798175","0.4748201438848921","146","-1.071170166647444","-1.196247964649658","0.4371585948793082","0.4452024612190797"
"lstm_se_hypertuned","AMD","41.680503845214844","33.52485275268555","9.67158643911843","0.46099290780141844","146","-0.17045232734601698","-0.1761735802555113","0.5480190544798014","0.5484834802825855"
"transformer","AMD","9.672401816036459","7.3687614022868955","3.2250688310049425","0.4892086330935252","146","0.07122659263065083","0.06479066845212426","0.23018408571875537","0.23718408571875538"
"arima","AMZN","2.5094820976254937","1.8628476884087217","1.0003685471780477","0.5263157894736842","146","-0.143256463470582","-0.17155777501492536","0.3657428449533042","0.41178337070995186"
"arimax","AMZN","3.3174289405098385","2.1484235608659374","1.3214459249486912","0.1417910447761194","146","-2.5550099380704743","-3.0768907053185655","0.17082826139274476","0.19469291875493977"
"hybrid","AMZN","2.521402104537855","1.8746847281462113","1.0051202846016993","0.4626865671641791","146","-0.7388984912871777","-0.8021187551856628","0.16613799009800845","0.1728014894993034"
"lstm_po_close","AMZN","3.4779103626176453","2.6869637476254815","1.3864183928466156","0.5895522388059702","146","0.18320747796044068","0.16568453313318693","0.12986262090259681","0.1324916524434011"
"lstm_po_ohlcv","AMZN","3.709706622949452","2.9514746992555385","1.4788206014173975","0.5223880597014925","146","0.09865551179330505","0.08653447068991656","0.17742192075334406","0.1782777986672377"
"lstm_se","AMZN","6.261521191599251","5.132923439757465","2.502764868856724","0.5037593984962406","146","1.5052858233707451","1.277639232829158","0.13027270936458746","0.13159881901695025"
"lstm_se_hypertuned","AMZN","72.62638854980469","60.02505111694336","16.03401069013309","0.4244604316546763","146","-3.732083810239214","-3.732083810239214","0.7274142941828687","0.7274142941828687"
"transformer","AMZN","11.465287358395333","8.556646529942343","4.582739167350801","0.47368421052631576","146","-0.05083762883235492","-0.05590383874415861","0.34248485195423795","0.34748485195423795"
"arima","MSFT","4.666241478225138","3.6625961205162363","1.0027383546616204","0.5815602836879432","146","-0.05049782389304063","-0.0850125211042082","0.25229442372113187","0.29527749613685494"
"arimax","MSFT","4.990368667443652","3.8073023184668893","1.0702266032368484","0.47183098591549294","146","-1.6787755372625381","-2.745244961277902","0.27114678120744207","0.33007765853667426"
"hybrid","MSFT","4.647704562411717","3.652718798244651","0.998754918195679","0.5774647887323944","146","0.0","0.0","0.0","0.0"
"lstm_po_close","MSFT","5.392158286699434","4.418999240822992","1.1587321302832794","0.5","146","0.06260566535357287","0.03949360336462006","0.09821665490607812","0.0991243396312057"
"lstm_po_ohlcv","MSFT","8.419719175895459","6.402536470596109","1.8093309985238097","0.5","146","0.04415285492154121","0.02114804864919254","0.09821665490607812","0.09912433963120604"
"lstm_se","MSFT","13.331926409961378","10.439986555543667","2.8762881953169392","0.5106382978723404","146","1.0532299958620508","0.7127514904601667","0.12153545014206535","0.12329655600262657"
"lstm_se_hypertuned","MSFT","182.4997100830078","155.4796600341797","25.73249959598145","0.41605839416058393","146","-2.4899475752703317","-2.4899475752703317","0.42222600277178646","0.42222600277178646"
"transformer","MSFT","27.250935325473435","21.5578232856646","5.879236141705623","0.4397163120567376","146","-0.04274003564372189","-0.04630057920649071","0.20381715328401728","0.20381715328401728"
"arima","TSLA","7.493600263013329","5.712794733945039","1.0003923031298017","0.48226950354609927","146","0.05028211330896933","0.035750975939949706","0.29956567926245437","0.31643228044472294"
"arimax","TSLA","11.0356845374995","6.924320551863271","1.4711170179773172","0.528169014084507","146","-0.05912504205716483","-0.40946487878735477","0.3041976594128132","0.3227849704208101"
"hybrid","TSLA","7.510330944809901","5.654922875486413","1.002625841710451","0.4788732394366197","146","-1.326295983635591","-1.369946926526359","0.3002277637879779","0.3030278390268314"
"lstm_po_ohlcv","TSLA","21.741375093900164","17.80353901484241","2.902463907869248","0.4084507042253521","146","-0.1779107425253589","-0.1807560063818327","0.5767535108860142","0.5818702326276083"
"lstm_se","TSLA","16.50565940639285","13.098580138324055","2.2078687217659856","0.46808510638297873","146","-0.22056669843078958","-0.4048144650137036","0.4382297530210202","0.4481826487063588"
"lstm_se_hypertuned","TSLA","74.41203308105469","71.83961486816406","5.138506435948152","0.4583333333333333","146","-3.0463145789716","-3.0463145789716","0.8834867941146047","0.8834867941146047"
"transformer","TSLA","22.229602234882922","18.365842949854187","2.973528185895313","0.5460992907801419","146","0.06346884439786589","0.06035562617858467","0.26217203009334233","0.26217203009334233"
